COUNTRY,2021,2022,2023
ABW,106537,106445,106277
AFE,702977106,720859132,739108306
AFG,40099462,41128771,42239854
AFW,478185907,490330870,502789511
AGO,34503774,35588987,36684202
ALB,2811666,2777689,2745972
AND,79034,79824,80088
ARB,456520777,464684914,473272080
ARE,9365145,9441129,9516871
ARG,45808747,46234830,46654581
ARM,2790974,2780469,2777970
ASM,45035,44273,43914
ATG,93219,93763,94298
AUS,25685412,26014399,26638544
AUT,8955797,9041851,9132383
AZE,10137750,10141756,10112555
BDI,12551213,12889576,13238559
BEL,11586195,11685814,11822592
BEN,12996895,13352864,13712828
BFA,22100683,22673762,23251485
BGD,169356251,171186372,172954319
BGR,6877743,6465097,6430370
BHR,1463265,1472233,1485509
BHS,407906,409984,412623
BIH,3270943,3233526,3210847
BLR,9302585,9228071,9178298
BLZ,400031,405272,410825
BMU,63764,63595,63489
BOL,12079472,12224110,12388571
BRA,214326223,215313498,216422446
BRB,281200,281635,281995
BRN,445373,449002,452524
BTN,777486,782455,787424
BWA,2588423,2630296,2675352
CAF,5457154,5579144,5742315
CAN,38239864,38939056,40097761
CEB,101413157,100108262,100156608
CHE,8704546,8775760,8849852
CHI,172683,174079,175346
CHL,19493184,19603733,19629590
CHN,1412360000,1412175000,1410710000
CIV,27478249,28160542,28873034
CMR,27198628,27914536,28647293
COD,95894118,99010212,102262808
COG,5835806,5970424,6106869
COL,51516562,51874024,52085168
COM,821625,836774,852075
CPV,587925,593149,598682
CRI,5153957,5180829,5212173
CSS,3128519,3147057,3167738
CUB,11256372,11212191,11194449
CUW,152369,149996,147862
CYM,68136,68706,69310
CYP,1244188,1251488,1260138
CZE,10505772,10672118,10873689
DEU,83196078,83797985,84482267
DJI,1105557,1120849,1136455
DMA,72412,72737,73040
DNK,5856733,5903037,5946952
DOM,11117873,11228821,11332972
DZA,44177969,44903225,45606480
EAP,2123610397,2129094071,2133652241
EAR,3411268373,3447398652,3486290439
EAS,2370214403,2375208613,2380601170
ECA,250663105,246915820,247474425
ECS,924168763,920988359,923929755
ECU,17797737,18001000,18190484
EGY,109262178,110990103,112716598
EMU,346942960,348331552,350357398
ERI,3620312,3684032,3748901
ESP,47415794,47778340,48373336
EST,1330932,1348840,1366188
ETH,120283026,123379924,126527060
EUU,447178093,447370551,449476878
FCS,1001870564,1019145355,1042703808
FIN,5541017,5556106,5584264
FJI,924610,929766,936375
FRA,67764304,67971311,68170228
FRO,52889,53090,53270
FSM,113131,114164,115224
GAB,2341179,2388992,2436566
GBR,67026292,67791000,68350000
GEO,3708610,3712502,3760365
GHA,32833031,33475870,34121985
GIB,32669,32649,32688
GIN,13531906,13859341,14190612
GMB,2639916,2705992,2773168
GNB,2060721,2105566,2150842
GNQ,1634466,1674908,1714671
GRC,10569207,10426919,10361295
GRD,124610,125438,126183
GRL,56653,56661,56865
GTM,17109746,17357886,17602431
GUM,170534,171774,172952
GUY,804567,808726,813834
HIC,1392964458,1395940386,1403021503
